alpha,beta,ratio,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.1,0.2,2.0,B_lockin_only,19,0,false,120,120,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,20,0,false,101,101,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,21,0,false,127,144,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,22,0,false,74,74,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,23,0,false,167,167,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,24,0,false,100,100,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,25,0,false,249,249,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,26,0,false,149,150,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,27,0,false,131,131,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,28,0,false,125,125,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,29,0,false,136,136,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,B_lockin_only,30,0,false,175,171,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,C_normative_only,1,82,true,33,33,33,33,1.0,0.9979634891202888,100,0.8405024700729952,1.0,82
0.1,0.2,2.0,C_normative_only,2,118,true,64,64,69,69,1.0,0.9986620219947077,97,0.7181346231785063,0.97,118
0.1,0.2,2.0,C_normative_only,3,77,true,27,28,28,28,0.0,0.9978761157469878,99,0.8482397820539875,0.99,77
0.1,0.2,2.0,C_normative_only,4,83,true,34,34,34,34,0.0,0.9976222978076242,94,0.8319734368918504,0.94,83
0.1,0.2,2.0,C_normative_only,5,111,true,40,40,62,62,0.0,0.9997727356626921,93,0.8362175062185365,0.93,111
0.1,0.2,2.0,C_normative_only,6,83,true,32,34,34,34,1.0,0.9980713203162004,99,0.8492180467650495,0.99,83
0.1,0.2,2.0,C_normative_only,7,75,true,23,26,25,26,0.0,0.9978481225061075,99,0.8485244957619603,0.99,75
0.1,0.2,2.0,C_normative_only,8,110,true,42,45,61,61,0.0,0.9995804613631774,99,0.8301525844447349,0.99,110
0.1,0.2,2.0,C_normative_only,9,120,true,64,64,71,71,1.0,0.9987538044812421,100,0.7361873432489838,1.0,120
0.1,0.2,2.0,C_normative_only,10,106,true,37,39,57,57,0.0,0.9996531260161615,99,0.8284508609135541,0.99,106
0.1,0.2,2.0,C_normative_only,11,98,true,39,39,49,49,0.0,0.9993623662372231,98,0.8449092590927346,0.98,98
0.1,0.2,2.0,C_normative_only,12,114,true,42,43,65,65,1.0,0.9997498166770287,97,0.8205840598456122,0.97,114
0.1,0.2,2.0,C_normative_only,13,87,true,36,36,36,36,1.0,0.9983035099072535,100,0.8426326181219485,1.0,87
0.1,0.2,2.0,C_normative_only,14,99,true,37,38,50,50,1.0,0.9992221580595335,98,0.8438582992505086,0.98,99
0.1,0.2,2.0,C_normative_only,15,117,true,61,63,68,68,0.0,0.9978057725091155,100,0.7115893836672929,1.0,117
0.1,0.2,2.0,C_normative_only,16,82,true,32,33,33,33,1.0,0.9980110246505766,99,0.8451585661892006,0.99,82
0.1,0.2,2.0,C_normative_only,17,81,true,32,31,29,32,0.0,0.9981282185045905,98,0.8513254262290842,0.98,81
0.1,0.2,2.0,C_normative_only,18,115,true,53,53,66,66,1.0,0.9994247245270563,96,0.7733709377996604,0.96,115
0.1,0.2,2.0,C_normative_only,19,91,true,42,42,41,42,0.0,0.9981602948630852,96,0.8335300452838842,0.96,91
0.1,0.2,2.0,C_normative_only,20,84,true,33,33,35,35,0.0,0.9980365352591027,96,0.8410658764257252,0.96,84
0.1,0.2,2.0,C_normative_only,21,120,true,66,66,71,71,1.0,0.9988463117303926,99,0.7516385625988333,0.99,120
0.1,0.2,2.0,C_normative_only,22,81,true,30,30,30,30,1.0,0.9981694478245017,97,0.8512025597021379,0.97,81
0.1,0.2,2.0,C_normative_only,23,119,true,42,44,70,70,1.0,0.9998552682310999,93,0.851815883506159,0.93,119
0.1,0.2,2.0,C_normative_only,24,85,true,31,34,35,36,0.0,0.9977891650320675,100,0.8467341705193392,1.0,85
0.1,0.2,2.0,C_normative_only,25,112,true,48,50,63,63,1.0,0.9994424856311187,96,0.7942685283764939,0.96,112
0.1,0.2,2.0,C_normative_only,26,115,true,64,65,66,66,1.0,0.9982537059449023,99,0.7477810562637115,0.99,115
0.1,0.2,2.0,C_normative_only,27,107,true,51,52,58,58,1.0,0.9989903326411099,98,0.8032020092716676,0.98,107
0.1,0.2,2.0,C_normative_only,28,87,true,37,37,38,38,1.0,0.9982877158259598,97,0.8467595991163411,0.97,87
0.1,0.2,2.0,C_normative_only,29,115,true,58,58,66,66,1.0,0.9986599745287577,100,0.750761848641192,1.0,115
0.1,0.2,2.0,C_normative_only,30,103,true,44,44,54,54,1.0,0.9991843519469065,100,0.840571796146483,1.0,103
0.1,0.2,2.0,D_full_model,1,114,true,44,46,65,65,1.0,0.9996594408281979,97,0.809899324747711,0.97,114
0.1,0.2,2.0,D_full_model,2,91,true,34,34,42,42,1.0,0.9991017134123074,97,0.8464313471337289,0.97,91
0.1,0.2,2.0,D_full_model,3,73,true,21,21,24,24,1.0,0.9980214241186325,100,0.8478591972912569,1.0,73
0.1,0.2,2.0,D_full_model,4,106,true,44,46,57,57,1.0,0.9993796022425745,96,0.8123451139904914,0.96,106
0.1,0.2,2.0,D_full_model,5,88,true,34,34,39,39,0.0,0.998461069536816,100,0.843054764282098,1.0,88
0.1,0.2,2.0,D_full_model,6,127,true,71,71,78,78,0.0,0.9985328279121384,97,0.7598083070332392,0.97,127
0.1,0.2,2.0,D_full_model,7,113,true,48,48,64,64,0.0,0.9995630980037578,100,0.7926323902348281,1.0,113
0.1,0.2,2.0,D_full_model,8,77,true,26,26,28,28,1.0,0.9981309303605714,99,0.8484970747112957,0.99,77
0.1,0.2,2.0,D_full_model,9,123,true,69,68,70,70,1.0,0.9986784665567822,98,0.7465941317238056,0.98,123
