condition,trial,symmetry_break_tick,agent_divergence_at_break,first_mover_mean_C,diffusion_duration,crystal_cascade_bursts,steady_state_tick,enforcement_at_steady,recovery_ticks,perturbation_depth,norm_survival_rate,recrystallisation_rate,norm_flip
DM_full,33,10,0.31673027891999245,0.30981193508,14,12,24,0.0,2,0.75,1.0,NaN,true
DM_full,34,6,0.3218780816378039,0.31852365,16,9,22,0.0,3,0.75,1.0,NaN,true
DM_full,35,22,0.3284405215659443,0.28143526881367686,9,12,31,0.0,5,0.7,0.95,NaN,true
DM_full,36,9,0.31211395908672546,0.2939807552499999,13,9,22,0.0,2,0.76,1.0,NaN,true
DM_full,37,18,0.312625956658521,0.29937071049257336,12,13,30,0.0,1,0.75,1.0,NaN,true
DM_full,38,3,0.32298325315437304,0.41308333333333347,29,15,32,0.0,1,0.76,1.0,NaN,true
DM_full,39,12,0.3106824247098136,0.28091336878025,13,11,25,0.0,1,0.77,1.0,NaN,true
DM_full,40,6,0.2782521202511176,0.2969825491803278,22,11,28,0.0,2,0.77,1.0,NaN,true
DM_full,41,14,0.32417554928842707,0.27273481802831645,11,13,25,0.0,1,0.76,1.0,NaN,true
DM_full,42,20,0.3022955106474057,0.273470620846286,10,13,30,0.0,3,0.77,1.0,NaN,true
DM_full,43,25,0.3134874969985418,0.2770249956844417,7,13,32,0.0,3,0.71,1.0,NaN,true
DM_full,44,5,0.3023140736091068,0.3612123333333332,13,10,18,0.0,1,0.78,1.0,NaN,true
DM_full,45,19,0.3370697573564776,0.2783035688304765,9,14,28,0.0,3,0.76,1.0,NaN,true
DM_full,46,3,0.3214899376690454,0.36626190476190484,16,10,19,0.0,1,0.78,1.0,NaN,true
DM_full,47,27,0.3575965332376894,0.26401454337035674,12,13,39,0.0,4,0.75,1.0,NaN,true
DM_full,48,6,0.278407115364392,0.3178078548387096,14,13,22,0.0,1,0.78,1.0,NaN,true
DM_full,49,1,0.4902071300001972,0.43852459016393486,14,9,15,0.0,1,0.78,1.0,NaN,true
DM_full,50,3,0.32210029040957167,0.4045166666666668,20,11,23,0.0,3,0.77,1.0,NaN,true
